kata,primary_pos,all_pos
mengurbankan,Verba,Verba
menganyang hati,Verba,Verba
memakmurkan,Verba,Verba
mengatur,Verba,Verba
menempa,Verba,Verba
memesonai,Verba,Verba
memutarkan,Verba,Verba
melantangkan,Verba,Verba
mengabstrakkan,Verba,Verba
mengabstraksikan,Verba,Verba
ajongi,Verba,Verba;Kulisusu
menjarakkan,Verba,Verba
memacu,Verba,Verba
merevitalisasi,Verba,Verba
menyempurnakan,Verba,Verba
menyerimpung,Verba,Verba
mengakronimkan,Verba,Verba
mengaksep,Verba,Verba
mengelarai,Verba,Verba
menganyang,Verba,Verba
mengapam,Verba,Verba
meneker,Verba,Verba
menyalatkan,Verba,Verba
memuisikan,Verba,Verba
manufaktur,Nomina,Nomina
mengadaptasikan,Verba,Verba
mengharmonikan,Verba,Verba
mengintensifkan,Verba,Verba
mengondensasikan,Verba,Verba
menisbikan,Verba,Verba
menerangjelaskan,Verba,Verba
membacem,Verba,Verba
menenun,Verba,Verba
membasahi,Verba,Verba
menguyupkan,Verba,Verba
membastar,Verba,Verba
merintis,Verba,Verba
mengotak-ngotakkan,Verba,Verba
mengubah bentuk,Verba,Verba
mengerang,Verba,Verba
memberantakkan,Verba,Verba
bekertak-kertak,Verba,Verba
mencirikan,Verba,Verba
memberdayakan,Verba,Verba
mendisiplinkan,Verba,Verba
menguntal,Verba,Verba
memperhatikan,Verba,Verba
meliput,Verba,Verba
memberkaskan,Verba,Verba
menyelang-nyelangkan,Verba,Verba
menyelang-nyelingkan,Verba,Verba
memberai-beraikan,Verba,Verba
menstratakan,Verba,Verba
menstrukturkan,Verba,Verba
membibit,Verba,Verba
mengeblog,Verba,Verba
membujetkan,Verba,Verba
membuntukan,Verba,Verba
berdecak,Verba,Verba
mencangkok,Nomina,Nomina
mencenderungi,Nomina,Nomina
membatik,Verba,Verba;Cakapan
mencuik,Verba,Verba
mencupang,Verba,Verba
mengindeks,Verba,Verba
mendeklarasikan,Verba,Verba
mendendeng,Verba,Verba
memperbuat,Verba,Verba
mendepun,Verba,Verba
mendesain,Verba,Verba
menyengapkan,Verba,Verba
bermabuk-mabukan,Verba,Verba
mendodol,Verba,Verba
mengekstraksi,Verba,Verba
mengemulsi,Verba,Verba
memfabrikasi,Verba,Verba
memfilet,Verba,Verba
memformat,Verba,Verba
merecok,Verba,Verba
melukis,Verba,Verba
mengabadikan,Verba,Verba
mencacah,Verba,Verba;Arkais
mensketsa,Verba,Verba
mengetsa,Verba,Verba
menggambar,Verba,Verba
menyipati,Verba,Verba
menggelamai,Verba,Verba
menggradasi,Verba,Verba
mengaduk-aduk perasaan,kiasan,kiasan
menghierarkikan,Verba,Verba
berhipotesis,Verba,Verba
mengambrukkan,Verba,Verba
mengarsipkan,Verba,Verba
mengartikelkan,Verba,Verba
mengatomkan,Verba,Verba
membecek,Verba,Verba
mempergulatkan,Verba,Verba
mempergunakan,Verba,Verba
memberhentikan,Verba,Verba
memperjalankan,Verba,Verba
menjungkirkan,Verba,Verba
memagnetkan,Verba,Verba
meronggakan,Verba,Verba
mempersekutukan,Verba,Verba
menyimbahkan,Verba,Verba
menalikan,Verba,Verba
membodohi,Verba,Verba
membungkukkan,Verba,Verba
mencapreskan,Verba,Verba
mencendekiakan,Verba,Verba
mencerahkan,Verba,Verba
menciutkan,Verba,Verba
mencokelatkan,Verba,Verba
memfiksikan,Verba,Verba
bergirang,Verba,Verba
menggumpalkan,Verba,Verba
menghijaukan,Verba,Verba
menghitami,Verba,Verba
menghomogenkan,Verba,Verba
mengikalkan,Verba,Verba
mengiritasi,Verba,Verba
mengaidahkan,Verba,Verba
mengapsulkan,Verba,Verba
mengaramelkan,Verba,Verba
mengatalogkan,Verba,Verba
mengebunkan,Verba,Verba
mengokohkan,Verba,Verba
mengomuniskan,Verba,Verba
mengotorkan,Verba,Verba
memperlainkan,Verba,Verba
melatahkan,Verba,Verba
memperlawankan,Verba,Verba
membungkuk-bungkukkan,Verba,Verba
perburuk,Verba,Verba
memperburuk,Verba,Verba
memperelok,Verba,Verba
memperkeruh,Verba,Verba
memperkokoh,Verba,Verba
memperkotor,Verba,Verba
memperlama,Verba,Verba
memperlebat,Verba,Verba
memperlezat,Verba,Verba
memperlurus,Verba,Verba
mempermegah,Verba,Verba
memperparah,Verba,Verba
memperpendek,Verba,Verba
memperumit,Verba,Verba
mempersingkat,Verba,Verba
mempersudikan,Verba,Verba
mempersukar,Verba,Verba
mempersulit,Verba,Verba
mempersungguhi,Verba,Verba
melembagakan,Verba,Verba
mempermalukan,Verba,Verba
memedokkan,Verba,Verba
memuncakkan,Verba,Verba
memeriahkan,Verba,Verba
meminiaturkan,Verba,Verba
memutakhirkan,Verba,Verba
melacurkan,Verba,Verba;kiasan
memperpelik,Verba,Verba
merelatifkan,Verba,Verba
merembeskan,Verba,Verba
meringkas,Verba,Verba
menyeimbangkan,Verba,Verba
menyenyapkan,Verba,Verba
menyepadankan,Verba,Verba
menyerempakkan,Verba,Verba
menyeriusi,Verba,Verba
menyetalakan,Verba,Verba
menyigapkan,Verba,Verba
memprogramkan,Verba,Verba
menterpurukkan,Verba,Verba
menambatkan,Nomina,Nomina
meniriskan,Verba,Verba
menjarak,Verba,Verba
kelem,Verba,Verba;Jawa
berjejaring,Verba,Verba
melasikan,Verba,Verba
mengejus,Verba,Verba
mengageti,Verba,Verba
mengalawang,Verba,Verba;Minangkabau
mengamuflase,Verba,Verba
mengaveling,Verba,Verba
mengerabu,Verba,Verba
mengira-ngira,Verba,Verba
mengira,Verba,Verba
mengkliping,Verba,Verba
mengkliring,Verba,Verba
menebat,Verba,Verba
mengompilasikan,Verba,Verba
mengonsep,Verba,Verba
mengorok,Verba,Verba
mengotori,Verba,Verba
mengucir,Verba,Verba
mengundai,Verba,Verba
mengover,Verba,Verba
memperbulat,Verba,Verba
mempercantik,Verba,Verba
memperhalus,Verba,Verba
memperamat,Verba,Verba
memperhidup,Verba,Verba
memperjelas,Verba,Verba
memperlapang,Verba,Verba
memperlebar,Verba,Verba
memperlonggar,Verba,Verba
memperluas,Verba,Verba
mempersegar,Verba,Verba
mempersegera,Verba,Verba
mengacapkan,Verba,Verba
berlelucon,Verba,Verba
meliang,Verba,Verba
melisensikan,Verba,Verba
menembuk,Verba,Verba
membobok,Verba,Verba
tugal,Nomina,Nomina
menugal,Verba,Verba
menggali,Verba,Verba
melubangi,Verba,Verba
melukai,Verba,Verba;kiasan
membuai,Verba,Verba;Klasik
memaklumkan,Verba,Verba
melayangkan,Verba,Verba
mempergilirkan,Verba,Verba
mengangkerkan,Verba,Verba
mengapartemenkan,Verba,Verba
mengatuskan,Verba,Verba
membengkakkan,Verba,Verba
menganekakan,Verba,Verba
menggenteli,Verba,Verba
mengganggangkan,Verba,Verba
menderap,Verba,Verba
mempergandengkan,Verba,Verba
mengembangbiakkan,Verba,Verba
memotensikan,Verba,Verba
memperselisihkan,Verba,Verba
memperseterukan,Verba,Verba
mempersilangkan,Verba,Verba
menambah-nambahi,Verba,Verba
memperwujudkan,Verba,Verba
membetahkan,Verba,Verba
membolongi,Verba,Verba;Cakapan
menunggikkan,Verba,Verba
membundarkan,Verba,Verba
mencerahi,Verba,Verba
mendadar,Verba,Verba
menampakkan,Verba,Verba
mendemokrasikan,Verba,Verba
mendiversifikasi,Verba,Verba
mendongkolkan,Verba,Verba
mengentalkan,Verba,Verba
menggembosi,Verba,Verba;kiasan
menggemburkan,Verba,Verba
menggiatkan,Verba,Verba
menghaluskan,Verba,Verba
mengerul,Verba,Verba
menjarangkan,Verba,Verba
menjauhkan,Verba,Verba
menjebolkan,Verba,Verba
menjernihkan,Verba,Verba;kiasan
memperkacaukan,Verba,Verba
mengacaukan,Verba,Verba
mengapitaliskan,Verba,Verba
mengenyangkan,Verba,Verba
memperdalam,Verba,Verba;kiasan
menggalakkan,Verba,Verba
memperjarang,Verba,Verba
mempermahir,Verba,Verba
mempersiangi,Verba,Verba
melegalkan,Verba,Verba
melegalisasi,Verba,Verba
melembutkan,Verba,Verba
melezatkan,Verba,Verba
melelehkan,Verba,Verba
meletupkan,Verba,Verba
memerosotkan,Verba,Verba
menasionalkan,Verba,Verba
memengos,Verba,Verba
memokokkan,Verba,Verba
mempreteli,Verba,Verba
memprosakan,Verba,Verba
merasionalkan,Verba,Verba
merefraksikan,Verba,Verba
meremas jantung,kiasan,kiasan
menyerasikan,Verba,Verba
mempersiang,Verba,Verba
menyistemkan,Verba,Verba
menstabilkan,Verba,Verba
mempersudah,Verba,Verba
menangkaskan,Verba,Verba
menerampilkan,Verba,Verba
melenakan,Verba,Verba
menunggalkan,Verba,Verba
menunggangkan,Verba,Verba
menyaraukan,Verba,Verba
mempermainkan,Verba,Verba
mengocok,Verba,Verba;Cakapan
meluweskan,Verba,Verba
memarit,Verba,Verba
mematung,Verba,Verba
menarik garis,kiasan,kiasan
memenasarankan,Verba,Verba
mereduksi,Verba,Verba
mengantisipasi,Verba,Verba
memperkirakan,Verba,Verba
memeringkat,Verba,Verba
berwaad,Verba,Verba
memersepsikan,Verba,Verba
mengondisikan,Verba,Verba
memola,Verba,Verba
memprogram,Verba,Verba
memuyengkan,Verba,Verba
mengemat,Verba,Verba
merajah,Verba,Verba;Klasik
merakit,Verba,Verba;kiasan
bernubuat,Verba,Verba
merandang,Verba,Verba
merangkakan,Verba,Verba
mengancang,Verba,Verba
merenda,Verba,Verba
merentan,Verba,Verba
mereplika,Verba,Verba
memfotokopi,Verba,Verba
meresensi,Verba,Verba
meresepkan,Verba,Verba
meresumekan,Verba,Verba
meringgiti,Verba,Verba
mengikhtisarkan,Verba,Verba
meruji,Verba,Verba
mengharu biru,Verba,Verba
masambia,Verba,Verba;Talaud
bakaya,Verba,Verba;Bacan
mengopi,Verba,Verba
mikroreproduksi,Nomina,Nomina;Kimia
menduplikatkan,Verba,Verba
menyambal,Verba,Verba
menggelung,Verba,Verba
menyanggul,Verba,Verba
menyarang laba-laba,Biologi,Biologi
menyaripatikan,Verba,Verba
menyayukan,Verba,Verba
merayukan,Verba,Verba
menyejahterakan,Verba,Verba
menyemur,Verba,Verba
menyenaraikan,Verba,Verba
menyembahyangkan,Verba,Verba
menginsinuasikan,Verba,Verba
menstilir,Verba,Verba
mengomputerisasi,Verba,Verba
menghambat,Verba,Verba
menggemerincingkan,Verba,Verba
memelesetkan,Verba,Verba
menggunturkan,Verba,Verba
menggidikkan,Verba,Verba
memviralkan,Verba,Verba
mendaringkan,Verba,Verba
mendramatisasikan,Verba,Verba
menggelembungkan,Nomina,Nomina
mengerdilkan,Verba,Verba
mengapungkan,Verba,Verba
mengapitalisasi,Verba,Verba
mengepaskan,Verba,Verba
memingsankan,Verba,Verba
menyaktikan,Verba,Verba
memanis-manis,Verba,Verba
mengapakan,Verba,Verba
membuatkan,Verba,Verba
menganalogikan,Verba,Verba
memalsu,Verba,Verba
menyetik,Verba,Verba
menyetup,Verba,Verba
mengorkestrasikan,Verba,Verba
mendramatiskan,Verba,Verba
mengesup,Verba,Verba
mengosongkan,Verba,Verba
membaguskan,Verba,Verba
membasahkan,Verba,Verba
membeningkan,Verba,Verba
membentrokkan,Verba,Verba
mengelukkan,Verba,Verba
menghadirkan,Verba,Verba
melancarkan,Verba,Verba
melancipkan,Verba,Verba
melapangi,Verba,Verba
melazimkan,Verba,Verba
memperbagus,Verba,Verba
memperkasar,Verba,Verba
memperlancar,Verba,Verba
memperpandak,Verba,Verba
melincirkan,Verba,Verba
meluruskan,Verba,Verba
mengejarkan,Verba,Verba
memandakkan,Verba,Verba
memadukan,Verba,Verba
meramaikan,Verba,Verba
menyelaraskan,Verba,Verba
melaraskan,Verba,Verba
mewaspadakan,Verba,Verba
menyurat,Verba,Verba
menabulasi,Verba,Verba
menafsir,Verba,Verba
mencoaki,Verba,Verba
bertaman,Verba,Verba
menanggul,Verba,Verba
menapai,Verba,Verba
menekat,Verba,Verba
menceplok,Verba,Verba
menggangsir,Verba,Verba
menyagu,Verba,Verba
menerangkan,Verba,Verba
mendikotomi,Verba,Verba
melayapkan,Verba,Verba
mengudarkan,Verba,Verba
menyodet,Verba,Verba
mengubrak-abrik,Verba,Verba
membungkam,Verba,Verba
menghajar,Verba,Verba
mengurungkan,Verba,Verba
mencekam,Verba,Verba
menyuling,Verba,Verba
mengabet,Verba,Verba
mengunjutkan,Verba,Verba
menguntai,Verba,Verba
memvisualisasi,Verba,Verba
mengevlog,Verba,Verba
berwasiat,Verba,Verba
membakal,Verba,Verba;Arkais
beriklan,Verba,Verba
merentangkan,Verba,Verba
mengusahakan,Verba,Verba
membikin-bikin,Verba,Verba;Cakapan
memandaikan,Verba,Verba;Klasik
mengijing,Verba,Verba
menempah,Verba,Verba;kiasan
menyanggulkan,Verba,Verba
membibitkan,Verba,Verba
mengonsepkan,Verba,Verba
menugalkan,Verba,Verba
mengornamenkan,Verba,Verba
mendemobilisasi,Verba,Verba
melebur,Verba,Verba
melikuidasi,Verba,Verba
menggarami,Verba,Verba
mengalamati,Verba,Verba
mengasami,Verba,Verba
membatui,Verba,Verba
mencoret,Verba,Verba;kiasan
membawangi,Verba,Verba
meladai,Verba,Verba
memaraf,Verba,Verba
merempahi,Verba,Verba
mencorek,Verba,Verba
mencecahkan,Verba,Verba
menambahkan,Verba,Verba
menyegel,Verba,Verba
mencentang,Verba,Verba
mengasini,Verba,Verba
menyelatkan,Verba,Verba
menyimpai,Verba,Verba
menyimpaikan,Verba,Verba
menyipat,Verba,Verba
menandatangani,Verba,Verba
menanwinkan,Verba,Verba
menarikhkan,Verba,Verba
tabun-menabun,Verba,Verba
meroket,Verba,Verba
mengangkasa,Verba,Verba;kiasan
merabung,Verba,Verba
mengatas,Verba,Verba
memperbubungkan,Verba,Verba
memperbudak,Verba,Verba
mengultur,Verba,Verba
berbugil,Verba,Verba
merengkuh,Verba,Verba
menggumbuk,Verba,Verba
memujuk,Verba,Verba
merayu,Verba,Verba
tantulu,Verba,Verba;Dayak
mengumbuk,Verba,Verba
membeka,Verba,Verba
memersuasi,Verba,Verba
membenari,Verba,Verba;Minangkabau
mengurut hati,kiasan,kiasan
mengurut kuduk,kiasan,kiasan
memanjang,Verba,Verba
menguak,Verba,Verba
mengguar,Verba,Verba;Sunda;kiasan
mementang,Verba,Verba
mendedahkan,Verba,Verba
mencekih,Verba,Verba
mencelikkan,Verba,Verba
memperladang,Verba,Verba
menyinggir,Verba,Verba;kiasan
menyingit,Verba,Verba
mengangakan,Verba,Verba
menanggalkan,Verba,Verba
mencelangakkan,Verba,Verba
menelanjangi,Verba,Verba
menyingkap,Verba,Verba
menyingkapkan,Verba,Verba;kiasan
menyelak,Verba,Verba
membengkel,Verba,Verba
membukai,Verba,Verba
meneroka,Verba,Verba
mengampuh,Verba,Verba;Tata Busana
mencarak,Verba,Verba
menyibak-nyibak,Verba,Verba
membongkar-bongkar,Verba,Verba
mengupas,Verba,Verba
menguakkan,Verba,Verba
membongkar,Verba,Verba
melebuhkan,Verba,Verba
meratakan jalan,kiasan,kiasan
mengangkangkan,Verba,Verba
mengiat,Verba,Verba;Arkais
mengangkang,Verba,Verba
pinggu,Verba,Verba;Tolaki
muger,Verba,Verba;Gayo
melapak,Verba,Verba
membelekkan,Verba,Verba
membeliak,Verba,Verba
membengang,Verba,Verba
menyimpirkan,Verba,Verba
mengembangkan,Verba,Verba
membelalakkan,Nomina,Nomina
menteleng,Verba,Verba;Jawa
mencangar,Nomina,Nomina;Jawa
menyengih,Verba,Verba
merengkah,Verba,Verba
binde,Verba,Verba
mereklamasikan,Verba,Verba
mencencang,Verba,Verba
mengungkap,Verba,Verba
mengagut-agut,Verba,Verba
mengungkapi,Verba,Verba
melangahkan,Verba,Verba
melorongkan,Verba,Verba
menandakan,Verba,Verba
menyerepi,Verba,Verba
memverifikasi,Verba,Verba
terbuku,Verba,Verba
menjorong,Verba,Verba;Botani
mengusal,Verba,Verba
menameng,Verba,Verba;Biologi
memperbungakan,Verba,Verba
melintah darat,kiasan,kiasan
merentenkan,Verba,Verba
mengendap,Verba,Verba
menyerondong,Verba,Verba
menungging,Verba,Verba
bersujud,Verba,Verba
menjura,Verba,Verba;Arkais
bersetungging,Verba,Verba
mengokol,Verba,Verba
membungkuk-bungkuk,Verba,Verba;kiasan
mengendap-endap,Verba,Verba
menjerungkung,Verba,Verba
menungkus,Verba,Verba
mengocong,Verba,Verba
memplastiki,Verba,Verba
mengepak,Verba,Verba
membungkusi,Verba,Verba
memberongsong,Verba,Verba
membelongsongi,Verba,Verba
menjolek,Verba,Verba
memaket,Verba,Verba
membungkuskan,Verba,Verba
memalut,Verba,Verba
menghamilkan,Verba,Verba
menyudahi,Verba,Verba
mengenyahkan,Verba,Verba
mencabut nyawa,kiasan,kiasan
mematikan,Verba,Verba
menuba,Verba,Verba;kiasan
kerap pati,Arkais,Arkais
menggantung,Verba,Verba
menewaskan,Verba,Verba
mengayau,Verba,Verba
mencincang,Verba,Verba
membantai,Verba,Verba
menggerenik,Verba,Verba;Klasik
mementing,Verba,Verba
meniup,Verba,Verba;Cakapan
menggesek,Verba,Verba
memetik,Verba,Verba
mengklakson,Verba,Verba
melonceng,Verba,Verba
bernafiri,Verba,Verba
beserdam,Verba,Verba
mengudak,Verba,Verba
memburu-burukan,Verba,Verba
menghitamkan,Verba,Verba
mencemarkan,Verba,Verba
menghina,Verba,Verba
membutuhi,Verba,Verba
menghajatkan,Verba,Verba
mencekah,Verba,Verba
memecahbelahkan,Verba,Verba
mempersatai,Verba,Verba;kiasan
membelah,Verba,Verba
mencabang,Verba,Verba
mengoyak,Verba,Verba
kampo,Verba,Verba;Melayu Riau
merejang,Verba,Verba
kerepu,Verba,Verba;Wolio
menghidrolisis,Verba,Verba
menyerkah,Verba,Verba
pecal,Verba,Verba
pecat,Verba,Verba
memecatkan,Verba,Verba
meritul,Verba,Verba
menskors,Verba,Verba
menghisabkan,Verba,Verba
menghisab,Verba,Verba
memeka,Verba,Verba
membenakan,Verba,Verba
mengindahkan,Verba,Verba
mengapikkan,Verba,Verba
menghiraukan,Verba,Verba
mengacuhkan,Verba,Verba
menggubris,Verba,Verba;Cakapan
pegang,Verba,Verba
menjawat,Verba,Verba
mencekal,Verba,Verba
menggandeng,Verba,Verba
menjimbit,Verba,Verba
mengangkup,Verba,Verba
menyimpan,Verba,Verba
menyikap,Verba,Verba
menganjung,Verba,Verba
menimang,Verba,Verba
membawa,Verba,Verba
mengitik,Verba,Verba
mencekak,Verba,Verba
menggenggam,Verba,Verba;kiasan
memacik,Verba,Verba;Minangkabau
cengkeram,Nomina,Nomina
mencengkam,Verba,Verba
melekam,Verba,Verba
mengemudikan,Verba,Verba;kiasan
merangkam,Verba,Verba
menjeramah,Verba,Verba
mengendalikan,Verba,Verba
menggemal,Verba,Verba
mengheban,Verba,Verba
pilik,Verba,Verba;Aceh
memiuh,Verba,Verba
menyetir,Verba,Verba;kiasan
memangku,Verba,Verba
mengukuhi,Verba,Verba
mengugemi,Verba,Verba;Jawa
menegakkan,Verba,Verba
menerajui,Verba,Verba
menyagang,Verba,Verba
mengakok,Verba,Verba;Arkais;Minangkabau
mengakap,Verba,Verba
mengawat,Verba,Verba
menggelandoti,Verba,Verba
menggamak-gamak,Verba,Verba
menggemak,Verba,Verba
berpicing,Verba,Verba
mengeceng,Verba,Verba
memeremkan,Verba,Verba
meruyupkan,Verba,Verba
mengejam,Verba,Verba
mengerepas,Verba,Verba
bermemek-memek,Verba,Verba
terpekau,Verba,Verba
terpekik,Verba,Verba
bertempik,Verba,Verba
menempikkan,Verba,Verba
terkuai-kuai,Verba,Verba
terjerit-jerit,Verba,Verba
memeliharakan,Verba,Verba
mengekalkan,Verba,Verba
membiakkan,Verba,Verba
memiara,Verba,Verba
merorok,Verba,Verba
mengonservasi,Verba,Verba
mendidik,Verba,Verba
menumbuhkan,Verba,Verba
menyara,Verba,Verba
mengadas,Verba,Verba
merawat,Verba,Verba
menjaga,Verba,Verba
memilin-milin,Verba,Verba
memelintir-melintir,Verba,Verba
memprakarsai,Verba,Verba
mengeloni,Verba,Verba
menggelut,Verba,Verba
berislam,Verba,Verba
memeluki,Verba,Verba
mengerumus,Verba,Verba
mengamban,Verba,Verba
memalun,Verba,Verba;Minangkabau
mencangkum,Verba,Verba
memalunkan,Verba,Verba
mempermenangkan,Verba,Verba
pencar,Verba,Verba
memencar-mencar,Verba,Verba
menyerak,Verba,Verba
menyerakkan,Verba,Verba
memicit,Verba,Verba
mengucai,Verba,Verba
menggeser,Verba,Verba
mengerotkan,Verba,Verba
pendam,Verba,Verba
memendamkan,Verba,Verba
membekam,Verba,Verba
meringkaskan,Verba,Verba
menyumirkan,Verba,Verba
menyingkat,Verba,Verba
menunggangi,Verba,Verba
kasak-kusuk,Verba,Verba
bilier,Adjektiva,Adjektiva
menular,Verba,Verba
menigas,Verba,Verba;Cakapan
mencampung,Verba,Verba
baliu,Verba,Verba;Hukum
menendas,Verba,Verba
memagas,Verba,Verba;Arkais
memocok,Verba,Verba;kiasan
memotong-motong,Verba,Verba
mengkis,Verba,Verba
memenjarakan,Verba,Verba
menerungku,Verba,Verba;kiasan
memensiunkan,Verba,Verba
meneaterkan,Verba,Verba
bergambus,Verba,Verba
memikirkan,Verba,Verba
memberatkan,Verba,Verba
menyanggupi,Verba,Verba
membanjiri,Verba,Verba
menepati,Verba,Verba
menetapi,Verba,Verba
menemui,Verba,Verba
memadai,Verba,Verba
merapati,Verba,Verba
memadati,Verba,Verba
meneguhkan,Verba,Verba
laik,Adjektiva,Adjektiva
laik laut,Pelayaran,Pelayaran
adekuat,Adjektiva,Adjektiva
mendabung,Verba,Verba
mengandam,Verba,Verba
menobak,Verba,Verba
memalai,Verba,Verba
menapus,Verba,Verba
berinai,Verba,Verba
membembam,Verba,Verba
mengempos,Verba,Verba
memerah,Verba,Verba
memorot,Verba,Verba
memeras tenaga,kiasan,kiasan
memutar otak,kiasan,kiasan
mengisap benak,kiasan,kiasan
menjalarkan,Verba,Verba
belah duren,kiasan,kiasan
mengantepi,Verba,Verba
menggugu,Verba,Verba;Jawa
mengamanahkan,Verba,Verba
berserah,Verba,Verba
menjeprat,Verba,Verba;Arkais
memercik-mercik,Verba,Verba
kepret,Verba,Verba;Cakapan
menciprat,Verba,Verba
merenjis,Verba,Verba
meletis,Verba,Verba
mencipratkan,Verba,Verba
mengipratkan,Verba,Verba;Melayu Jakarta
mempermandikan,Verba,Verba;Agama Kristen
memercik-mercikkan,Verba,Verba
mercak-mercik,Verba,Verba;Cakapan
memacak-macak,Verba,Verba
memancit-mancitkan,Verba,Verba
mengambai-ambaikan,Verba,Verba
tepercit,Verba,Verba
menangkap basah,kiasan,kiasan
menginterogasi,Verba,Verba
memeriksai,Verba,Verba
mengekir,Verba,Verba
menegur-neguri,Verba,Verba
menguji,Verba,Verba
membelu,Verba,Verba
mengkhasiati,Verba,Verba
meneliti,Verba,Verba
mengusut,Verba,Verba;Melayu Jakarta
menggeledah,Verba,Verba
mengajuk,Verba,Verba
mengetes,Verba,Verba
mengekol,Verba,Verba
menyisir,Verba,Verba
mengadili,Verba,Verba
menyidik,Verba,Verba
menafahus,Verba,Verba
mengomisi,Verba,Verba
menyiasat,Verba,Verba
mengusul,Verba,Verba
menyurvei,Verba,Verba
mengekirkan,Verba,Verba
mengampukan,Verba,Verba
menghukumkan,Verba,Verba
menyuruh,Verba,Verba
mengereh,Verba,Verba
berotonomi,Verba,Verba
memerintahkan,Verba,Verba
melarang,Verba,Verba
menginstruksikan,Verba,Verba
mendiktekan,Verba,Verba
mengamarkan,Verba,Verba
merogol,Verba,Verba
merenggang,Verba,Verba
menggarap,Verba,Verba
menggagahi,Verba,Verba
memerogol,Verba,Verba
mencabuli,Verba,Verba
merenggang gawai,Verba,Verba;Palembang
memerlahankan,Verba,Verba
berbiaya,Verba,Verba
makan biaya,kiasan,kiasan
lambat,Nomina,Nomina
permak,Verba,Verba;Cakapan
merengas,Verba,Verba
perogol,Verba,Verba
merosotkan,Verba,Verba
memerukkan,Verba,Verba
mengebuk,Verba,Verba;Cakapan
membicarakan,Verba,Verba
membestel,Verba,Verba
memesankan,Verba,Verba
mencarter,Verba,Verba
mengharukan,Verba,Verba
memesongkan,Verba,Verba
memecakkan,Verba,Verba
memetiakan,Verba,Verba
petik,Verba,Verba
memungut,Verba,Verba
menggotes,Verba,Verba
mengurut,Nomina,Nomina
menggentas,Verba,Verba
memetiki,Verba,Verba
mendodos,Verba,Verba
pulir,Verba,Verba;Toulour
mengotek,Verba,Verba;Melayu Medan
mencarang,Verba,Verba
memetikkan,Verba,Verba
meruntih,Verba,Verba
menggamit,Verba,Verba
mengopak,Verba,Verba
memfermentasikan,Verba,Verba
menyinetronkan,Verba,Verba
memfinalisasi,Verba,Verba
menghujat,Verba,Verba
menjujah,Verba,Verba
beternak,Verba,Verba
menyeduai,Verba,Verba;Pertanian
pica,Verba,Verba;Cakapan
memicingkan,Verba,Verba
mengercingkan,Verba,Verba
memidanakan,Verba,Verba
memijah,Verba,Verba
menapakkan,Verba,Verba
renggu,Verba,Verba;Madura
memecal,Verba,Verba
memeras,Verba,Verba;kiasan
memacul,Verba,Verba
melecutkan,Verba,Verba
memisit,Verba,Verba;kiasan
mengurutkan,Verba,Verba
meremas,Verba,Verba
menggaet,Verba,Verba
memincuk,Verba,Verba
mencuri hati,kiasan,kiasan
mengeret,Verba,Verba
memulut,Verba,Verba
menjebak,Verba,Verba
membatin,Verba,Verba
memikiri,Verba,Verba
mengenap,Verba,Verba
menafakurkan,Verba,Verba
merenungkan,Verba,Verba
mempertimbangkan,Verba,Verba
menimbang,Verba,Verba
memenungkan,Verba,Verba
berfalsafah,Verba,Verba
bermakrifat,Verba,Verba
menimbang-nimbang,Verba,Verba
menggagaskan,Verba,Verba
menggagas,Verba,Verba
nanang,Adjektiva,Adjektiva
menghinap-hinap,Verba,Verba
mengacu,Verba,Verba
mengacu-acu,Verba,Verba
mengagak-agak,Verba,Verba
menggandar,Verba,Verba
mendagang,Verba,Verba
menyondang,Verba,Verba
bamikuli,Verba,Verba;Sangir
menanggungkan,Verba,Verba
pilih,Verba,Verba
mencondongkan,Verba,Verba
menjenis,Verba,Verba
menyortir,Verba,Verba
mencari bako,Minangkabau,Minangkabau
paluk,Verba,Verba;Sunda
bertarjih,Verba,Verba
memilihkan,Verba,Verba
menapis,Verba,Verba
minus malum,Ungkapan,Ungkapan;Latin
meninting,Verba,Verba
punya,Nomina,Nomina
berpaspor,Verba,Verba
berabstraksi,Verba,Verba
beragun,Verba,Verba
berakreditasi,Verba,Verba
beraliran,Verba,Verba
berandil,Verba,Verba
wasgitel,Adjektiva,Adjektiva;Jawa
berarsitektur,Verba,Verba
beropini,Verba,Verba
beraura,Verba,Verba
menguping,Verba,Verba
meroma,Verba,Verba;Biologi
bercelah-celah,Verba,Verba
berkembang-kembang,Verba,Verba
berkerat-kerat,Verba,Verba
multivoltin,Adjektiva,Adjektiva;Biologi
sukulen,Nomina,Nomina
berbatang,Verba,Verba
polifonik,Adjektiva,Adjektiva
sebangun,Adjektiva,Adjektiva;Matematika
mengginjal,Verba,Verba;Biologi
mengecipir,Verba,Verba;Biologi
menjantung sungsang,Biologi,Biologi
berperawakan,Verba,Verba
berbidang,Verba,Verba
berbilah,Verba,Verba
berbonggol,Verba,Verba
berpayudara,Verba,Verba
berbujet,Verba,Verba
berbulir,Verba,Verba
beruitan,Verba,Verba
bercakar,Verba,Verba
bercerat,Verba,Verba
kemelayu-melayuan,Verba,Verba
berdana,Verba,Verba
berdapur,Verba,Verba
berdaur,Verba,Verba
berdefinisi,Verba,Verba
berdiagonal,Verba,Verba
berdiameter,Verba,Verba
isodiametris,Adjektiva,Adjektiva
berdimensi,Verba,Verba
